Comment 
	Author 


	Pippin


	Die Gewalttaten der Putschisten....Die Gewalt breitet sich vom Maidan aufs ganze Land aus. Dahinter stecken offensichtlich Extremisten, die eine Minderheit darstellen, sonst würden sie sich dem demokratische Prozess stellen.Schon letzte Woche gab es Berichte, wie diese Terroristen ihre politischen Gegner mit Gewalt an Demonstrationen gehindert oder friedliche Demonstranten überfallen haben.
Suchmaschine: Antimaidan Korsun
	Kohlhase


	Bedenkliche SituationMir macht diese Inszenierung einer russischen Minderheit, die um Schutz vor dem eigenen Staat bittet Angst. Vor allem in Verbindung mit den Manövern, die die russische Armee gerade an der Grenze zur Ukraine veranstaltet. Haben so nicht die Einmärsche in Ungarn und der Tschechoslowakei während des kalten Krieges angefangen?
Für die Ukraine ist halt dumm, dass der Westen kaum wegen der Krim einen Krieg gegen die Atomarsenale der Russen führen wird. Von daher könnte sich Kerry seine kaum verhüllten Drohungen eigentlich sparen. Sie sind einfach zu lächerlich.
	Antaranton


	Auf der...Krim sind die Russen aber keine Minderheit. Das sollte man mal zur Kenntnis nehmen.Leider wird der Westen den einfachsten Weg über Abstimmungen zur Zugehörigkeit mit seinem dümmlichen Geschwätz von der "territorialen Integrität" verbauen.In Kiew gesellen sich unter die demokratischen Kräfte Neofaschisten, die offen mit Hitlergruß und militärischen Auftreten aus ihrer Gesinnung keinen Hehl machen und "die" Russen, in und außerhalb der Ukraine, sollen dem im Angesicht ihrer Geschichte einfach so zusehen?
	NGC1672


	"Die slawische Mehrheit fürchtet eine Anbindung der Krim an Russland". Da scheint der Autor der Meinung zu sein, dass sowohl die Ukrainer als auch Russen auf der Krim eine Bindung an Russland fürchten, wo doch russisch laut neuem Parlamentsbeschluss verboten werden soll?
	Pippin


	man sollte nicht vergessenauf der Krim leben im Verhältnis soviele Russen wie Deutsche in Berlin. Nur, um mal eine Vorstellung zu haben.Nicht umsonst ist die Krim unabhängig von der Ukraine.
	ben oppen


	Russland hat durchaus das "Recht" die "amerikanische Karte" zu spielen!
Putin sollte Kämpfer und Waffen in den Osten der Ukraine  "einsickern" lassen - für den Fall der Fälle.
Diesbezüglich kann er sich ja bei den USA und deren Verbündeten beraten lassen, wie man das am besten macht.
Warum sollte Russland nicht seine Bürger gegen einen faschistischen Mob schützen? Es werden sogar schon orthodoxe Klöster attackiert - das kennen wir sonst nur von den "demokratischen Rebellen" in Syrien.
Russland muß Stärke beweisen um die imperiale USA/NATO/EU und die Faschisten zu stoppen.
	wassilewski


	Die Volkerechts-Anarchie begann in Kiew,Janukowisch ist noch Präsident  .Ee  wurde nicht vom Volk abgewähltEine Horde NGO*s haben von Aussen einen Putschversuch versucht.
Nur das  Volk kann ihn wieder wieder abwählen.Sonst endet die Welt  in Volkerechts-Anarchien
	CAMMIE


	Kalter Krieg llEine sehr gefaehrliche Gemengelage ist entstanden...
Durchbkicken tue ich da nicht mehr. Wollen die Russen und der Westen den lll. Weltkrieg vom Zaun brechen?
Wer sind die Typen, die das Parlament dort besetzt haben...
Steht der Ukraine eine Buergerkrieg bevor?
	Dragon635


	Die Welt ist so komplexJetzt hatte ich mich gerade daran gewöhnt, dass Bewaffnete, die die Regierung stürzen wollen, Freiheitskämpfer sind. Aber nur im Westen der Ukraine? Weil da ja die Guten wohnen, fast so gute wie in Tibet. Aber der Kampf der Nationalisten auf der Krim, der ist jetzt bös? Ich frag ja nur... Es ist ja gar nicht so leicht, auf dem Laufenden zu sein, wer gerade der Gute und wer der Böse ist.
	JonVanValkenberg


	Zweierlei Maß...."Der gewählte Präsident der Ukraine, Viktor Janukowitsch, ist nicht nur gestürzt, sondern wird den Meldungen zufolge inzwischen gar steckbrieflich gesucht. Das alles gehört nicht nur zu einem Staatsstreich, sondern auch zu einer Abrechnung und einem Rache-Feldzug. Es geht nicht nur gegen einen gewählten, aber von einigen gehassten Präsidenten. Davon künden die Meldungen über die regelrechte Denkmalstürmerei in der Ukraine, von der u.a. die ARD freudig am 23. Februar berichtete....Zur Erinnerung: Janukowitsch wurde 2010 in freien und fairen Wahlen zum Präsidenten der Ukraine gewählt. Seine Wahl war auch das Ergebnis der Politik der „orangenen Revolutionäre“ unter Julia Timoschenko und Janukowitsch-Vorgänger Viktor Juschtschenko seit 2004. Wie ein demokratisch gewählter Präsident eines Landes zum von westlichen Politikern und Medien verteufelten Quasi-Diktator werden kann, scheint erstaunlich...Dem ukrainischen Präsidenten wurde neben den enttäuschten Hoffnungen der Ukrainer zum Verhängnis, dass er sich den westlichen Interessen verweigerte, als er im November 2013 das Assoziierungsabkommen mit der EU auf Eis legte. Janukowitsch meinte, das Land sei „wirtschaftlich noch nicht reif für eine Partnerschaft mit der Europäischen Union“.  "http://www.freitag.de/aut...
	doof


	Gleiches Recht für allewenn die ethnische Mehrheit im Kosovo durch USA und EU nen eigenen Staat bekommen haben, dann bitte auch die Russen auf der Krim
	tiko63


	Ich bin ganz baff...In Kiew waren es "Demonstranten"
Auf der Krim sind es "Bewaffnete".Komisch, für mich sieht das beides sehr ähnlich aus.


	trauriger Clown


	Zum Lachen, wenns nicht so traurig wäre."Es gebe in großem Stil Menschenrechtsverletzungen, Angriffe und Vandalismus in der Ukraine, was die Regierung in Moskau sehr besorgt mache, hieß es weiter."
Mehr Heuchelei geht kaum.
	Jack Holmes


	Westliche Medien unterstützen Nationalisten, und nicht das Volk!In der Stadt Winniza am 27.02.2014 versuchten ukrainische Nationalisten von der Organisation "Freie Ukraine" eine medizinische Universität zu besetzen.
Die Studenten haben die vertrieben. http://www.youtube.com/wa...
Warum werden die Nationalisten von westlichen Politiken unterstützt? Mir kommt es vor, wer nicht pro-westlich ist, hat keine Rechte mehr. Es ist westliche Diktatur, und keine Demokratie!
	metzzzi


	Gut, Russland mag kein Partner sein,...aber wollte der Westen Russland denn als (gleichberechtigten) Partner?
Schließlich waren die 1990er-Jahre für Russland eine einzige Demütitgung, als sich der schwere Alki Jelzin wie ein Tanzbär am Nasenringdurch die Manege führen ließ.Und nach dem 9/11 hat Russland auf Zusammenarbeit gesetzt, insbesondere in Afghanistan.Russland als alleinigen "Paria" hinzustellen ist meiner Meinung nach eine verkürzte Darstellung
	lensenpensen


	Putin, der Garant der Muktipolaritaet?Wer Putin jetzt noch aks "Garant einer multipolaren" Welt und Eindaemmer der Amerikanischen Hegemonitaet bewundert sollte auf Grund seiner Einfalt Redeverbot bekommen. Im schlimmsten Falle (falls die Garantiemaechte des Budapester Memorandums ihre Verpflichtung ernst nehmen) stehen wir vor dem Beginn eines militaerischen Konfliktes, der (falls es solche noch geben sollte) als 3. Weltkrieg bezeichnet werden wird. Und bitte daran denken, auch China hat das Budapester Memorandum unterzeichnet und hat nicht unwesentliche wirtschaftliche Interessen auf der Krim. Wenn die Garantiemaechte aber nicht zu ihrem Wort stehen, wird die Situation auch nicht besser. Der Iran wird mit Sicherheit Atommacht werden, der Ukraine wird nichts anderes uebrig bkeiben als das vorhandene Potential schnellstmoeglich zu reaktivieren, viele andere Laender weden ebenfalls nach der atomaren Absicherung streben. Diese multipolare Welt wird eine Welt des atomarischen Wettruestens, denn den Wert irgendwelcher Garantien wird dieser Konflikt offensichtlich als "Null" bewiesen haben. Danke Putin
	lklueh


	Putin steht für Souveränität Sein Eintreten für die Souveränität, und nicht nur für diejenige Russlands, sowie für eine multipolare Welt macht ihn zum Angriffsziel des Westens. Souveränität und Unabhängigkeit. So tritt er gegenüber den USA und ihren geopolitischen Interessen kraftvoll auf. Zudem erkennt er den Hegemonialanspruch der USA nicht an. Das ist der eigentliche Grund, weshalb er aus dem Westen so scharf attackiert und dämonisiert wird. Es ist ja auch nichts neues, dass der Westen die Opposition in Russland unterstützt.
	-Wotan


	Der Eindruck läßt sich nicht von der Hand weisen,daß westliche Geheimdienste und Militärberater bei der Vorbereitung und Durchführung des Putsches eine nicht kleine Rolle gespielt haben.Es ist doch klar, daß der Westen Rußland umschlingen will, Das Vorrücken des defa6kto NATO-Gebietes ist doch seit dem Untergang das strategische Ziel. Es ist gegen jede geopolitische Vernunft, die Krim der NATO zu überlassen.  Langfristig ist die Rückkehr der Krim zu Rußland stabilisierender als das Verbleiben im Machtbereich eines quasifaschistischen Regimes aus Kiev.
	Franz Grund


	Die Schande Europasist es, diesen Mob und zwielichtige Gestalten wie Timoschenko und Tjagnibok untersützt zu haben.
	Mandalore


	Russland ist kein Partner Was für ein Unfug!!!  Ohne Rußland wird in Zukunft nichts gehen, aber statt Rußland als Partner zu sehen, sehen die mächtigen hier und in Übersee, die Russen als Feinde. Und aus welchem Grund? Nur aus einem einzigen Grund, das sich die Machtverhältnisse ändern könnten.
	manfred horst heinz


	Putin handelt vollkommen strategisch und geopoltisch richtig.Die Zerschlagung Jugoslawiens lehrt uns doch, welche Ziele der Westen verfolgt. Im Grundgenommen soll ein feindlicher Ring um Rußland geschaffen werden.Der Westen befürchtet auch sehr eine strategisch geopolitsche Allianz Rußlands mit China. Meine chinesischen Freund beobachten zum Beispiel sehr genau diese  ablaufenden Prozesse.
	Franz Grund


	Das hat doch niemand behauptet:"die grundsätzliche Bösartigkeit des Westens, die Faschisten in Kiew und den guten, menschenliebenden Putin, der die Welt und die Ukrainer nur beschützen möchte."Es ist doch aber nicht von der Hand zu weisen, daß wenn man sich die Leute ansieht es sich um quasifaschistische Ideologen handelt, die sechs Ministerposten innehaben, oder? Die Geschichte der Kollaboration der Ukrainer ist den Russen noch sehr bewußt. Ihre antihistoriche Sicht scheint nicht sehr hilfreich.
	Franz Grund


	Mit typischem westlichem Intrigrantentum wird auf perfide Art und Weise  ein Putsch gegen eine demokratisch gewählte  Regierung unterstützt und geholfen eine nicht demokratisch gewählte Regierung zu implementieren. 
	Thuure


	Das wird widerlegt durch Unterstützung und Parteinahme für die extrem nationalistischen Kräfte, die antidemokratisch die Macht durch die Mittel des Terrors an sich gerissen habe
	Franz Grund


	Russland möchte sich als Weltmacht fühlen Die Russen wollen sich halt wie eine Weltmacht fühlen und der Westen wäre gut beraten genau auf  dieses Bedürfnis im eigenen Interesse einzugehen. So dürfte sich das westliche Engagement in der Ukraine für viele Russen wie eine schleichende Invasion anfühlen. Und ja, natürlich hört sich dies in westlichen Ohren völlig unvernünftig an, aber es war und ist dennoch dumm, dies zu ignorieren. 
Putin ignoriert dies nämlich mit Sicherheit nicht. Möglicherweise teilt er diese Gefühle sogar. Wobei, bei Putin dürfte davon auszugehen sein, dass bei ihm immer noch der Verstand das letzte Wort hat. Wenn dieser Verstand aber sagt, dass das Risiko einer militärischen Aktion akzeptabel ist und das Kosten/Nutzen Verhältnis stimmt, dann traue ich Putin eigentlich alles zu. Das Einzige, was ich ihm nicht zutraue, ist eine Wahnsinnstat, die eben nicht (auch) auf kalter Logik beruht.Und dennoch halte ich Putin zumindest für einen potentiellen Partner des Westens, denn völlig irrational ist er ja schließlich nicht.
	Markus2010


	Russland ist ein Partner !Die Ukraine ist keiner! Ich will nicht auch noch für dieses Volk zahlen, dieses Volk verstehe ich nicht(im Gegensatz zu Russland), sie verstehen uns nicht. Jeder will in den Westen (EU).
Aber stimmt ja: Wir, die EU, wir wissen ja nicht wohin mit dem Geld und haben sonst keinerlei Probleme, also sollten wir die Milliarden in die Ukraine schicken.
Ich wünschte mir das noch mehr Länder in die EU kommen, alle die Pleite sind sollten direkt kommen.
	Analyst11


	Ukrainische Separatisten.Nach verlässlichen Informationen direkt aus der Krim handelt es sich bei den bewaffneten Besetzern in Simferopol und Sewastopol nicht um russisches Militär, sondern um abtrünnige ukrainische Armeeangehörige aus der Region. Darum tragen sie auch keine Kennzeichnung. Die Beschriftungen und Kennzeichnungen der Fahrzeuge sind abgedeckt.Diese Separatisten nutzen die Gunst der Stunde respektive Verwirrung, um der Welt vorzugaukeln, die Russische Armee sei schon vor Ort. Die hat zwar ihre Truppen auf ihrem Stützpunkt verstärkt, wurde jedoch noch nicht aktiv.
	ryan_kand


	Geostrategisch,hat Putin keine andere Wahl, als sich die Krim zu sichern.
Die Scheinaufregung der Amis und Europäer dienen nur zur
Beruhigung des gemeinen Wahlvolkes.
	Frankolas


	ie Ukraine trägt selbst die Verantwortung für diese SituationDie Ukraine hat sich selbst in dieses Desaster hereinmanövriert - mit der selbst ausgerufenen Revolution und den daraus unabsehbaren Folgen konnte nur ein völlig destabilisiertes Land zurückbleiben. Im Hintergrund halten sich zahnlose Papiertiger á la EU und USA, die außer mahnenden Worten kaum glaubwürdige Hilfe darstellen. Zeitweise klingen die westlichen Appelle beinahe so verzweifelt, als kämen sie direkt aus dem Vatikan. Was will man Russland jetzt vorwerfen? Dass man die russisch-sprechenden Krimbewohner (unter)stützen will? Natürlich ist jede militärische Intervention zu verurteilen und zu kritisieren - doch sollten die jetzigen Großmahner sich daran erinnern, ob sie bei der amerikanischen Irak-Invasion in 2003 genauso lautstark kritisierten oder ob man dort nicht geflissentlich die eigenen Interessen höher bewertet hat als die sogenannten Territorialrechte eines souveränen Staates...
	Oke_Schumak


	Putin will Bürgerkrieg verhindern"Wenn Putin wirklich mit einer umfasssenden Invasion die Ukraine angreift, wird er bestenfalls einen Pyrrus-Sieg erreichen."
Er hat gar nicht vor, "die Ukraine" anzugreifen.  Er wird einfach nur die Regionen unterstützen, die sich nicht den Faschisten unterwerfen wollen. 
Der Osten hatte sich ja bis jetzt fast nicht gerührt, einfach weil Janukowitsch auch dort nur als korruptes Schwein verachtet wurde, warum sollte man so einen verteidigen.  Nun ist die Lage aber anders - den Faschisten unterwerfen will man sich auch nicht.  Da kommen eine ganze Menge Emotionen hoch. Hier in Deutschland mag man noch der Propaganda vom pro-EU-Maidan glauben, im Osten weiß man, dass es Faschisten sind, und will auch als pro-Europäer nichts mit diesem Abschaum zu tun haben. 
Ich denke, Putin wird auf eine Föderalisierung der Ukraine hinarbeiten. Wenn Kiew nichts mehr zu sagen hat, und alles Wichtige lokal entschieden wird, können Putin irgendwelche Nazis in Galizien an der Macht ziemlich egal sein. Die darf die EU dann gerne durchfüttern. (Scheint ja überhaupt ein Verein zu sein, der Nazis groß macht - in Ungarn und Griechenland geht es denen ja schon gut.)
Putin wird in jedem Fall tun was er kann um einen Bürgerkrieg zu verhindern. Das dürfte seine Priorität sein.
	Obosrevatjel


	Die Milchmädchenrechnung der NATOentworfen von Bush,Cheney,Wolfowitz am Ende der 80er Jahre besagt, man will sich die kaukas.rohstoffreichen Vorderrepubliken Russlands einverleiben.Man will lt. Natoplan bis ans kasp. Meer vordringen.In Abachasien, fast direkter Nachbar der Krim gibt es noch die bislang grössten ungeförderten Mengen an Gas und Öl auf dem Planeten Erde.Bislang konnte auch Rußland kein Abkommen zu einer Förderung erzielen.
Klar ist, dass die NATO mit allen Mitteln dort hin will,
klar ist jetzt auch, dass sich Putin diesen Raubmarsch nicht ansehen würde
vor seiner Türe.Denn dazu braucht die NATO die Krim um weiterzumarschieren.
Auch dswg. hat man die Ukraine geputscht, nicht nur deshalb.Man will Rußland und auch seiner Wirtschaft schaden.Frage ? wer ist hier der Destabilisotar des Friedens, wer schickt Faschisten und Scharfschützen los um so etwas zu erreichen. ?Milchmädchenrechnung ade´ Frau Merkel und Nuschel Nuland.Für so dumm naiv hätte ich die deutsche Regierung niemals gehalten,jetzt weiss ich es immerhin genau.Putin wird es diesen Knallköpfen zeigen,
dass man ihn nicht wie einen Clown behandeln kann.
	Lost Name


	Russland hat einen nutzungsvertrag für den Flottenstützpunktauf der Krim. Etwa wie die Briten eine Pachtvertrag für Hongkong hatten.
	Wiilibald


	Wer ist da das Brudervolk?Das echte Brudervolk hat gerade gesprochen. Das Einmischen von Russland ist erwünscht und mit dem aggressiven und russophoben Westteil des Landes sind Menschen im Osten nicht einverstanden. Was bitteschön gibt es da hin und her zu deuten?
	faktenfaktenfakten


	Auf der Krim verlassen immer mehr ukrainische Soldaten ihren Dienst und zeigen damit, dass sie das Jazenjuk-Turschinow Regime nicht akzeptieren. Ähnliches könnte sich bald im Osten u. Süden der Ukraine abspielen. Dann sind Jazenjuk-Turschinow Generäle oder Soldaten und können nur noch ultranationalistische paramilitärische Einheiten befehlen, die im Süden und Osten des Landes nicht einsetzbar sind.Die EU hat die Büchse der Pandora geöffnet und muss nun sogar mit der Abspaltung von Transnistrien rechnen, dass sich von Modawien immer mehr abspaltet.Selbst in der Zentralukraine und im Nordosten der Ukraine muss Jazenjuk nun mit Widerstand rechnen, wenn er seine Repressionspolitik dort fortsetzt.
	Pippin


	Westliche Medien unterstützen Nationalisten, und nicht das Volk!Es werden von der Strasse "gewählten" Nationalisten hier als "Demokraten" verkauft, ohne Rücksicht auf Menschen in der Ukraine, die gegen sie sind.
	

metzzzi


	Wenn man die Ereignisse in der Ukraine sieht wie der Westen den antirussischen Bewegung unterstützt hat kann man hier nichts anderes als Doppelmoral nennen.
	niloero


	Putin...Tja, damit hat der Westen wohl nicht gerechnet, dass Putin das macht, was die Amerikaner schon längst gemacht hätten. Es ist schon ziemlich dreist,wie der Westen die Ukraine systematisch destabilisiert hat, um neue geopolitische Fakten zu schaffen. Es ist reichlich naiv zu glauben, dass sich Russland ohne Gegenwehr ihre Schwarzmeerflotte unter westliche Kontrolle bringen lässt. Ich weiß sehr genau, was passieren würde, wenn Russland auf Kuba Fakten schaffen würde, die Amis würden komplett durchdrehen.Warum der Westen die Ukraine in die EU einbinden möchte ist eigentlich nur für Naive nicht ersichtlich, es geht um die Schwarzmeerflotte, Öl und Gaspipelines zum schwarzen Meer, das können und dürfen die Russen nicht zulassen, das ist völlig logisch und war schon vorher klar!
	isidoro


	Putin ist einfach ein Realist....und sein Vorgehen ist logisch und verständlich.
Darüberhinaus war die Art und Weise wie der Westen, hier insbesondere
5die USA,die Russen bei nur jeder erdenklichen Gelegenheit arrogant
Behandelt haben, sehr demütigend.Plötzlich jetzt der Umschwung ....in den Medien ....beiukrainischen Präsidenten("Höhepunkt der Krise mit Russland ist ").....diese
Orchestrierung macht mir allerdings größere Sorge.....zufälligpassieren diese Dinge ja wohl kaum.Russland und Putin haben allen Grund zum Mißtrauen... wir Bürger ebenso.
	zahaw


	Die Westukrainer sollten Putin dankbar seinWenn er es schafft, die Krim und die russischsprachigen Teile der Ukraine abzutrennen, ohne dass ein Schuss fällt, könnte sich die Westukraine (vielleicht unter dem Landesnahme Galizien) endlich eindeutig für den Westen, die EU und ggf. für die Nato entscheiden. Dann wäre der Konflikt entschärft und die Menschen wüssten endlich, woran sie sind. Wir vergessen, dass es neben den jugoslawischen Bürgerkriegen auch die friedliche Trennung der Tschechoslowakei gab. Warum sollen die ukrainischen Landesteile nicht getrennte Wege gehen dürfen wie damals Tschechien und Slowakei. Und mal ehrlich, eine russische Aggression, eine Invasion sieht doch etwas anders aus:
	T. Steffen


	Sehr geehrter Herr PutinSie sind der wahre Patriot der sein Land beschützt,
Ja sie sind ein Patriot und ein Demokrat und nicht der Schuhputzer der
.............
	sokrates1970


	Aus Putins Sicht war und ist es ein realistisches Szenario, dass auf einen Rauswurf der Flotte früher oder später eine Stationierung von Nato-Einheiten auf der Krim folgen würde
Und wieder ein Punkt für Putin, finde ich. Denn genau das würde wohl auch passieren. Ich wette, derartige Pläne liegen im Pentagon und in Brüssel längst in der Schublade.
>>Aus ihm folgt das Bedürfnis, dem Westen endlich zu zeigen, was eine Harke ist.<<
http://duden.de/_media_/f...Wir haben es gesehen, können wir jetzt bitte mit diesem Blödsinn auf der Krim aufhören?
	Zivilisationswächter


	Dann kann auch die MAFIA über einen zusammenschluss mit China verhandeln.
Das ist nur noch ekelhaft!


	Emma das Turbohuhn


	Den Nationalisten in der Ukraine mag das einen 3. Weltkrieg wert Es ist es uns das auch?
Ich hoffe, dass nicht alle europäischen Regierungen so übergeschnappt sind und es darauf ankommen lassen."Ein Feind, ein guter Feind""Vor dem EU-Sondergipfel zur Ukraine ist unklar, ob Russland doch noch einlenkt. Genauso unklar ist aber, ob sich die Scharfmacher in der EU im Zaum halten lassen. Sie haben massive Interessen in der Ukraine – und sie profitieren vom neuen Feindbild Putin.Schon gestern hatte ich darauf hingewiesen, dass Deutschland in der europäischen Ost-Politik nicht mehr den Ton angibt, auch wenn dies immer wieder behauptet wird.Die Expansion der EU hat eine Eigendynamik entwickelt, die Berlin nicht mehr aufhalten kann. Die 11-Mrd.Euro-Vorzugshilfe für die Ukraine, die die EU-Kommission aus dem Hut zaubert, spricht Bände.Auch im Verhältnis zu Russland ist Berlin nicht mehr der Nabel der Welt. Längst geben andere EU-Staaten wie Polen den Ton an. Sie wollen nicht nur Sanktionen, sondern ein aggressives Rollback.Dabei verfolgen die “neuen Europäer” zunächst einmal massive Eigen-Interessen:
    Die Ostgrenze der EU soll “stabilisiert” werden.
    Die Energieversorgung (Gas) soll “abgesichert” werden.
    Russland soll ein für allemal “eingedämmt” werden..."http://lostineu.eu/die-ne...
	zapzarap


	Auch "Russen-Versteher" Steinmeier gießt Öl ins Feuer"http://www.heise.de/tp/ar...
Diese Tendenz konnte man auch bei der MSC ablesen - d.h. aber auch, dass die USA nach dem Irakkrieg undder Kritik daran vermutlich stark in Europa "aufberüstet" haben.
Wobei, was ich NICHT verstehe, weder von Gauck noch Merkel noch eben nun den Polen:
Alle haben schon in repressiven Systemen gelebt (oder die jungen Polen: kennen es aus Erzählungen).Wie kann man angesichts der letzten 10 Jahre (Kriege, Drohnen, destabilisierte Regionen, failed states etc.) eigentlich wirklich überzeugt sein, das Land of the Free brächten nur Demokratie und Freiheit?
	doof


	Die Revanchisten und Kalten Krieger sind - das beweisen die Beiträge in diesen Foren - wohl wieder aus ihren dunklen Löchern gekrochen und lärmen herum.
	Peter Zar


	Durch Europa verläuft eine Linie von Norden nach Süden, die.
die Einflusssphäre Russlands von der der EU trennt. Solange diese
Linie nicht angetastet wird herrscht Frieden in Europa.
Durch den Aufstand in Kiew ist dieser Frieden ins Wanken geraten.
Jetzt bemühen sich Russland, Ukrainer und EU um eine neue
Balance. Diplomatie ist gefragter denn je.
Was könnte der Preis für eine westorientierte (West-) Ukraine sein,
der Russland zufrieden stellt?
Der Frieden liegt in der Balance.
	blue17


	Dies zementiert die SpaltungSpätestens jetzt wird die Ukraine vor eine Zerreisprobe gestellt. Der Osten und die Krim werden diesem Beitritt niemals zustimmen. Im Auftrag der USA die Waffen strecken gegen den befreundeten Nachbarn? 
Die Konterrevolution ist nur noch eine Frage von Tagen, wenn dieser Beitritt beschlossen wird. Die Putschrada hat ihr wahres Gesicht gezeigt. Handlanger!
	Neovaginal


	Eine "fast" KriegserklärungWas hier veranstaltet wird ist brandgefährlich! Wenn die Ukraine der NATO beitritt, was kommen wird, man will es mit aller Macht durchsetzen, dann haben wir schon den Vorhof eines neuen europäischen Krieges. Bei einem Beitritt, werden die NATO-Staaten umgehend westliches Militär in der Ukraine stationieren. Das werden Boden-Boden Raketen, mechanisierte Einheiten wie Panzer- und Panzergrenadiertruppen, Luftlandetruppen, sowie Luftwaffeneinheiten. Die Ukraine wird als Aufmarschgebiet benutzt. Das wird sich Russland nicht gefallen lassen. Als langgedienter Soldat a.D. bin ich überzeugt, dass dies zu einem Krieg führen wird. Es scheint so gewollt zu sein.
	Freidenker_35


	Putin muss hingegen sehr reale Probleme lösen, und das aktuelle Problem ist, einen Bürgerkrieg in der Ukraine (wenn überhaupt möglich) zu vermeiden oder ihn wenigstens gering zu halten. 
	Jemand der kommentieren will


	Kalter Krieg 2.0 - ohne mich...Die Situation in der Ukraine ist unübersichtlich und äußerst gefährlich. Vor allem mit dem Blick auf künftig mögliche Entwicklungen im Osten des Landes und angesichts einer sehr hohen Wahrscheinlichkeit einer Teilung wäre gerade jetzt Besonnenheit wichtig und eine Offensive der Diplomatie.
	FoxyFunderburke


	Die spinnen......die Ukrainer. Und der Rest auch.Ich möchte nicht, daß meine Bundesregierung mit einer Regierung verhandelt, die wohl relativ deutlich von faschistischen Kräften durchsetzt ist.Wenn man verhandelt, dann bitte erst nach den Wahlen in der Ukraine, nicht mit dieser dubiosen Interimsregierung.Und ein NATO-Beitritt der Ukraine steht ja wohl völlig außer Frage. Wenn die NATO dem zustimmt, wären alle paranoiden Befürchtungen von Putin bestätigt und die russische Propaganda könnte das wunderbar vermarkten - und es wäre nicht einmal gelogen in dem Moment!
	Zivilisationswächter


	.........................Langsam reicht mir das alles was in der Ukraine geschieht... Ich koennte nur noch kotzen... Diese Verbrecher in Kiew wollen tatsaechlich in die Nato... Sie haben NULL legitimation dazu.. Sollen sie erstmal ein neues Parlament waehlen lassen.... Und unsere EU macht munter geschaefte mit diesen Faschisten... das kann doch alles nicht Wahr sein.
	HerrKunstprodukt


	Nato-Beitritt war doch von Anfang an das Ziel der Amerikaner. Warum investieren die USA 5 Mrd. $ in einen Umsturz in der Ukraine? Das Land hat keine Bodenschätze, aber Russland als Nachbarland. Die Pseudo-Demokraten der EU machen da auch mit, obwohl die genau wissen was die Herrchen von ihnen halten (F… the EU).
	faktenfaktenfakten


	Dies zementiert die SpaltungSpätestens jetzt wird die Ukraine vor eine Zerreisprobe gestellt. Der Osten und die Krim werden diesem Beitritt niemals zustimmen. Im Auftrag der USA die Waffen strecken gegen den befreundeten Nachbarn? Die Konterrevolution ist nur noch eine Frage von Tagen, wenn dieser Beitritt beschlossen wird. Die Putschrada hat ihr wahres Gesicht gezeigt. Handlanger!
	Neovaginal


	Eine "fast" KriegserklärungWas hier veranstaltet wird ist brandgefährlich! Wenn die Ukraine der NATO beitritt, was kommen wird, man will es mit aller Macht durchsetzen, dann haben wir schon den Vorhof eines neuen europäischen Krieges. Bei einem Beitritt, werden die NATO-Staaten umgehend westliches Militär in der Ukraine stationieren. Das werden Boden-Boden Raketen, mechanisierte Einheiten wie Panzer- und Panzergrenadiertruppen, Luftlandetruppen, sowie Luftwaffeneinheiten. Die Ukraine wird als Aufmarschgebiet benutzt. Das wird sich Russland nicht gefallen lassen. Als langgedienter Soldat a.D. bin ich überzeugt, dass dies zu einem Krieg führen wird. Es scheint so gewollt zu sein.
	Freidenker_35


	wer die Ukraine zur NATO einläd hat nicht verstanden wie Weltpolitik funktioniert. Es gab bereits eine ähnliche Situation in der Geschicht, nur damals mit umgekehrten Vorzeichen, die nannte sich Kuba-Krise.Wie Amerika darauf reagiert hat wissen wir alle. Russland sollte und wird genauso reagieren.Ganz stark, wirklich ganz stark diese Provokation der westlichen Welt. Wozu muss die Ukraine der Nato beitreten? Sind die Befindlichkeiten von ein paar Menschen es Wert den Weltfrieden zu gefährden?
	Quas


	Meiner Einschätzung nach....weiß der Westen ganz genau, dass diese Regierung über eine zweifelhafte Legitimität besitzt und der Rückhalt in der Bevölkerung schwindet. Dazu braucht man sich nur die Bilder aus der Süd- und Ostukraine, aber auch in Teilen der Westukraine ansehen. Das Ergebnis der Wahlen im Mai dürfte sehr schlecht für die gegenwärtige Regierung ausfallen, so fern sich an den Lebensbedingungen nichts spürbar verbessert. Im März soll die Abstimmung der Krim über den Verbleib in der Ukraine stattfinden, auch dort dürfte die Regierung in Kiew eine Niederlage erwarten. Das einzige Ziel für den Westen und dieser sogenannten Regierung in Kiew kann nur sein, unumstössliche Fakten zu schaffen. Dazu gehören eben ein NATO-Beitritt, ein weitreichendes Abkommen mit der EU, etc.
Sollten diese Dinge bis Mai über die Bühne gegangen sein, werden sich 2/3 der Ukraine für unabhängig erklären und die Ultranationalisten werden sich aufspalten, in einen pro- und antiwestlichen Teil. Im Grunde hat der Westen wieder einmal auf Gruppen gesetzt, die sich als unberechenbar erweisen und damit letztlich scheitert.Putin ist sicherlich nervös, aber im Grunde kann er sich zurücklehnen und zusehen wie sich der Westen wieder blamiert.
	Piscator76


